time_original,well,OD,isolate,well,hh,mm,ss,time_h
1.18:45:00,A1,0.3754,ATD 4B4,A1,1.18,45,0,1.93
1.19:00:00,A1,0.3761,ATD 4B4,A1,1.19,0,0,1.19
1.19:15:00,A1,0.3757,ATD 4B4,A1,1.19,15,0,1.44
1.19:30:00,A1,0.3764,ATD 4B4,A1,1.19,30,0,1.69
1.19:45:00,A1,0.3763,ATD 4B4,A1,1.19,45,0,1.94
1.20:00:00,A1,0.377,ATD 4B4,A1,1.2,0,0,1.2
1.20:15:00,A1,0.3778,ATD 4B4,A1,1.2,15,0,1.45
1.20:30:00,A1,0.3782,ATD 4B4,A1,1.2,30,0,1.7
1.20:45:00,A1,0.379,ATD 4B4,A1,1.2,45,0,1.95
1.21:00:00,A1,0.379,ATD 4B4,A1,1.21,0,0,1.21
1.21:15:00,A1,0.3807,ATD 4B4,A1,1.21,15,0,1.46
1.21:30:00,A1,0.38,ATD 4B4,A1,1.21,30,0,1.71
1.21:45:00,A1,0.3805,ATD 4B4,A1,1.21,45,0,1.96
1.22:00:00,A1,0.3805,ATD 4B4,A1,1.22,0,0,1.22
1.22:15:00,A1,0.3798,ATD 4B4,A1,1.22,15,0,1.47
1.22:30:00,A1,0.3803,ATD 4B4,A1,1.22,30,0,1.72
1.22:45:00,A1,0.38,ATD 4B4,A1,1.22,45,0,1.97
1.23:00:00,A1,0.3799,ATD 4B4,A1,1.23,0,0,1.23
1.23:15:00,A1,0.38,ATD 4B4,A1,1.23,15,0,1.48
1.23:30:00,A1,0.3801,ATD 4B4,A1,1.23,30,0,1.73
1.23:45:00,A1,0.3793,ATD 4B4,A1,1.23,45,0,1.98
2.00:00:00,A1,0.38,ATD 4B4,A1,2,0,0,2
2.00:15:00,A1,0.3805,ATD 4B4,A1,2,15,0,2.25
2.00:30:00,A1,0.3812,ATD 4B4,A1,2,30,0,2.5
2.00:45:00,A1,0.3816,ATD 4B4,A1,2,45,0,2.75
2.01:00:00,A1,0.3805,ATD 4B4,A1,2.01,0,0,2.01
2.01:15:00,A1,0.3816,ATD 4B4,A1,2.01,15,0,2.26
2.01:30:00,A1,0.3816,ATD 4B4,A1,2.01,30,0,2.51
2.01:45:00,A1,0.3823,ATD 4B4,A1,2.01,45,0,2.76
2.02:00:00,A1,0.3835,ATD 4B4,A1,2.02,0,0,2.02
2.02:15:00,A1,0.3834,ATD 4B4,A1,2.02,15,0,2.27
2.02:30:00,A1,0.3835,ATD 4B4,A1,2.02,30,0,2.52
2.02:45:00,A1,0.3835,ATD 4B4,A1,2.02,45,0,2.77
2.03:00:00,A1,0.3833,ATD 4B4,A1,2.03,0,0,2.03
2.03:15:00,A1,0.384,ATD 4B4,A1,2.03,15,0,2.28
2.03:30:00,A1,0.3841,ATD 4B4,A1,2.03,30,0,2.53
2.03:45:00,A1,0.3844,ATD 4B4,A1,2.03,45,0,2.78
2.04:00:00,A1,0.385,ATD 4B4,A1,2.04,0,0,2.04
2.04:15:00,A1,0.3846,ATD 4B4,A1,2.04,15,0,2.29
2.04:30:00,A1,0.3858,ATD 4B4,A1,2.04,30,0,2.54
2.04:45:00,A1,0.3857,ATD 4B4,A1,2.04,45,0,2.79
2.05:00:00,A1,0.3866,ATD 4B4,A1,2.05,0,0,2.05
2.05:15:00,A1,0.3882,ATD 4B4,A1,2.05,15,0,2.3
2.05:30:00,A1,0.3873,ATD 4B4,A1,2.05,30,0,2.55
2.05:45:00,A1,0.3885,ATD 4B4,A1,2.05,45,0,2.8
2.06:00:00,A1,0.3883,ATD 4B4,A1,2.06,0,0,2.06
2.06:15:00,A1,0.3885,ATD 4B4,A1,2.06,15,0,2.31
2.06:30:00,A1,0.3878,ATD 4B4,A1,2.06,30,0,2.56
2.06:45:00,A1,0.3885,ATD 4B4,A1,2.06,45,0,2.81
2.07:00:00,A1,0.3887,ATD 4B4,A1,2.07,0,0,2.07
2.07:15:00,A1,0.3898,ATD 4B4,A1,2.07,15,0,2.32
2.07:30:00,A1,0.3903,ATD 4B4,A1,2.07,30,0,2.57
2.07:45:00,A1,0.3901,ATD 4B4,A1,2.07,45,0,2.82
2.08:00:00,A1,0.39,ATD 4B4,A1,2.08,0,0,2.08
2.08:15:00,A1,0.3898,ATD 4B4,A1,2.08,15,0,2.33
2.08:30:00,A1,0.39,ATD 4B4,A1,2.08,30,0,2.58
2.08:45:00,A1,0.389,ATD 4B4,A1,2.08,45,0,2.83
2.09:00:00,A1,0.3896,ATD 4B4,A1,2.09,0,0,2.09
2.09:15:00,A1,0.3897,ATD 4B4,A1,2.09,15,0,2.34
2.09:30:00,A1,0.3901,ATD 4B4,A1,2.09,30,0,2.59
2.09:45:00,A1,0.3908,ATD 4B4,A1,2.09,45,0,2.84
2.10:00:00,A1,0.39,ATD 4B4,A1,2.1,0,0,2.1
2.10:15:00,A1,0.3908,ATD 4B4,A1,2.1,15,0,2.35
2.10:30:00,A1,0.3912,ATD 4B4,A1,2.1,30,0,2.6
2.10:45:00,A1,0.3915,ATD 4B4,A1,2.1,45,0,2.85
2.11:00:00,A1,0.3915,ATD 4B4,A1,2.11,0,0,2.11
2.11:15:00,A1,0.392,ATD 4B4,A1,2.11,15,0,2.36
2.11:30:00,A1,0.3922,ATD 4B4,A1,2.11,30,0,2.61
2.11:45:00,A1,0.392,ATD 4B4,A1,2.11,45,0,2.86
2.12:00:00,A1,0.3934,ATD 4B4,A1,2.12,0,0,2.12
2.12:15:00,A1,0.3934,ATD 4B4,A1,2.12,15,0,2.37
2.12:30:00,A1,0.3933,ATD 4B4,A1,2.12,30,0,2.62
2.12:45:00,A1,0.395,ATD 4B4,A1,2.12,45,0,2.87
2.13:00:00,A1,0.3942,ATD 4B4,A1,2.13,0,0,2.13
2.13:15:00,A1,0.3949,ATD 4B4,A1,2.13,15,0,2.38
2.13:30:00,A1,0.3958,ATD 4B4,A1,2.13,30,0,2.63
2.13:45:00,A1,0.3956,ATD 4B4,A1,2.13,45,0,2.88
2.14:00:00,A1,0.3955,ATD 4B4,A1,2.14,0,0,2.14
2.14:15:00,A1,0.3953,ATD 4B4,A1,2.14,15,0,2.39
2.14:30:00,A1,0.3951,ATD 4B4,A1,2.14,30,0,2.64
2.14:45:00,A1,0.395,ATD 4B4,A1,2.14,45,0,2.89
2.15:00:00,A1,0.3968,ATD 4B4,A1,2.15,0,0,2.15
2.15:15:00,A1,0.3959,ATD 4B4,A1,2.15,15,0,2.4
2.15:30:00,A1,0.3966,ATD 4B4,A1,2.15,30,0,2.65
2.15:45:00,A1,0.3964,ATD 4B4,A1,2.15,45,0,2.9
2.16:00:00,A1,0.3962,ATD 4B4,A1,2.16,0,0,2.16
2.16:15:00,A1,0.3974,ATD 4B4,A1,2.16,15,0,2.41
2.16:30:00,A1,0.3977,ATD 4B4,A1,2.16,30,0,2.66
